Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Rank;Gen0;Gen1;Gen2;Allocated
fewDriversOnSmallMap_EnumerationSearch;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;2.605 μs;0.0222 μs;0.0185 μs;1;0.4730;0.0000;0.0000;248 B
fewDriversOnSmallMap_PriorityQueueSearch;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;3.497 μs;0.0263 μs;0.0219 μs;2;0.3662;0.0000;0.0000;192 B
manyDriversOnSmallMap_PriorityQueueSearch;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;4.818 μs;0.0775 μs;0.0687 μs;3;0.3662;0.0000;0.0000;192 B
manyDriversOnVeryLargeMap_RadialSearch;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;4.940 μs;0.0340 μs;0.0284 μs;3;1.3885;0.0000;0.0000;729 B
manyDriversOnSmallMap_RadialSearch;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;6.020 μs;0.0299 μs;0.0265 μs;4;1.5488;0.0000;0.0000;813 B
manyDriversOnSmallMap_EnumerationSearch;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;6.873 μs;0.0423 μs;0.0375 μs;5;1.7395;0.0000;0.0000;913 B
fewDriversOnSmallMap_RadialSearch;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;29.694 μs;0.3498 μs;0.2921 μs;6;4.2114;0.0000;0.0000;2227 B
fewDriversOnVeryLargeMap_EnumerationSearch;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"1,816.779 μs";14.2905 μs;12.6681 μs;7;0.0000;0.0000;0.0000;336 B
fewDriversOnVeryLargeMap_PriorityQueueSearch;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"3,076.966 μs";20.4581 μs;19.1365 μs;8;0.0000;0.0000;0.0000;192 B
manyDriversOnVeryLargeMap_PriorityQueueSearch;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"15,288.522 μs";102.2217 μs;85.3598 μs;9;0.0000;0.0000;0.0000;0 B
manyDriversOnVeryLargeMap_EnumerationSearch;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"47,164.766 μs";904.7887 μs;929.1513 μs;10;272.7273;90.9091;90.9091;6195241 B
fewDriversOnVeryLargeMap_RadialSearch;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"74,876.476 μs";690.6180 μs;612.2148 μs;11;0.0000;0.0000;0.0000;15214 B
